,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,1997-09-04,8.88,9.98,8.7,9.7,328516,309832320.0,29.43,122.99,5.35,73.0
1,1997-09-05,9.54,9.97,9.41,9.89,127495,124176720.0,5.77,1.96,0.19,28.33
2,1997-09-08,10.01,10.44,9.72,10.1,110805,112019760.0,7.28,2.12,0.21,24.62
3,1997-09-09,10.1,10.23,9.6,9.67,75995,74901792.0,6.24,-4.26,-0.43,16.89
4,1997-09-10,9.6,9.89,9.5,9.87,35337,34036384.0,4.03,2.07,0.2,7.85
5,1997-09-11,9.8,10.18,9.6,9.69,39536,39098680.0,5.88,-1.82,-0.18,8.79
6,1997-09-12,9.7,9.8,9.26,9.3,22941,21837190.0,5.57,-4.02,-0.39,5.1
7,1997-09-15,9.15,9.33,8.81,8.89,18732,16940434.0,5.59,-4.41,-0.41,4.16
8,1997-09-16,8.94,9.17,8.8,9.1,12625,11400363.0,4.16,2.36,0.21,2.81
9,1997-09-17,9.1,9.16,8.84,8.99,9609,8561549.0,3.52,-1.21,-0.11,2.14
10,1997-09-18,8.93,9.3,8.93,9.11,8178,7473089.5,4.12,1.33,0.12,1.82
11,1997-09-19,9.18,9.28,9.01,9.11,5677,5198980.0,2.96,0.0,0.0,1.26
12,1997-09-22,9.21,9.21,8.2,8.28,16212,13895831.0,11.09,-9.11,-0.83,3.6
13,1997-09-23,8.15,8.23,7.45,7.57,15320,12041633.0,9.42,-8.57,-0.71,3.4
14,1997-09-24,7.71,8.18,7.6,8.11,19072,15014707.0,7.66,7.13,0.54,4.24
15,1997-09-25,8.2,8.36,8.0,8.18,19928,16251686.0,4.44,0.86,0.07,4.43
16,1997-09-26,8.25,8.25,7.84,7.95,10303,8200171.0,5.01,-2.81,-0.23,2.29
17,1997-09-29,7.89,7.89,7.55,7.64,7660,5884125.5,4.28,-3.9,-0.31,1.7
18,1997-09-30,7.58,7.92,7.51,7.9,7653,5931219.5,5.37,3.4,0.26,1.7
19,1997-10-06,7.85,7.9,7.65,7.79,4240,3297586.25,3.16,-1.39,-0.11,0.94
20,1997-10-07,7.7,7.8,7.52,7.76,4396,3360327.75,3.59,-0.39,-0.03,0.98
21,1997-10-08,8.1,8.2,7.78,8.08,10675,8614779.0,5.41,4.12,0.32,2.37
22,1997-10-09,8.05,8.15,7.85,7.86,7287,5798991.5,3.71,-2.72,-0.22,1.62
23,1997-10-10,7.93,8.1,7.87,8.05,7021,5631992.0,2.93,2.42,0.19,1.56
24,1997-10-13,8.15,8.18,8.0,8.12,7866,6356746.0,2.24,0.87,0.07,1.75
25,1997-10-14,8.08,8.08,7.8,7.92,4973,3924729.75,3.45,-2.46,-0.2,1.11
26,1997-10-15,7.9,8.09,7.8,8.06,6605,5247874.5,3.66,1.77,0.14,1.47
27,1997-10-16,8.16,8.4,7.96,8.29,17724,14567952.0,5.46,2.85,0.23,3.94
28,1997-10-17,8.4,8.5,8.16,8.32,16112,13402507.0,4.1,0.36,0.03,3.58
29,1997-10-20,8.3,8.89,8.2,8.88,29292,25116598.0,8.29,6.73,0.56,6.51
30,1997-10-21,8.87,8.97,8.6,8.86,18981,16713351.0,4.17,-0.23,-0.02,4.22
31,1997-10-22,8.85,9.16,8.36,8.59,28338,24768142.0,9.03,-3.05,-0.27,6.3
32,1997-10-23,8.25,9.45,8.25,9.27,76419,70436560.0,13.97,7.92,0.68,16.98
33,1997-10-24,9.31,9.65,9.12,9.41,55350,52278808.0,5.72,1.51,0.14,12.3
34,1997-10-27,9.58,10.0,9.35,9.45,48024,46134188.0,6.91,0.43,0.04,10.67
35,1997-10-28,9.45,9.5,8.85,8.99,29267,26810102.0,6.88,-4.87,-0.46,6.5
36,1997-10-29,8.9,9.29,8.8,9.26,18432,16721989.0,5.45,3.0,0.27,4.1
37,1997-10-30,9.48,9.58,8.8,8.82,24139,22303642.0,8.42,-4.75,-0.44,5.36
38,1997-10-31,9.35,9.35,8.6,9.33,22828,20634108.0,8.5,5.78,0.51,5.07
39,1997-11-03,9.49,9.49,9.1,9.22,11419,10575088.0,4.18,-1.18,-0.11,2.54
40,1997-11-04,9.27,9.48,9.19,9.45,14136,13236807.0,3.15,2.49,0.23,3.14
41,1997-11-05,9.41,9.65,9.33,9.57,11559,11045239.0,3.39,1.27,0.12,2.57
42,1997-11-06,9.6,10.1,9.58,9.74,59218,58671816.0,5.43,1.78,0.17,13.16
43,1997-11-07,9.75,10.0,9.6,9.79,20531,20062646.0,4.11,0.51,0.05,4.56
44,1997-11-10,9.82,9.88,9.25,9.5,17606,16885408.0,6.44,-2.96,-0.29,3.91
45,1997-11-11,9.78,9.78,9.16,9.33,13077,12189873.0,6.53,-1.79,-0.17,2.91
46,1997-11-12,9.32,9.4,9.0,9.05,6407,5896886.5,4.29,-3.0,-0.28,1.42
47,1997-11-13,9.0,9.3,8.79,9.29,12989,11613088.0,5.64,2.65,0.24,2.89
48,1997-11-14,9.23,9.29,9.05,9.14,8103,7407105.0,2.58,-1.61,-0.15,1.8
49,1997-11-17,9.21,9.21,8.9,9.03,8608,7749667.5,3.39,-1.2,-0.11,1.91
50,1997-11-18,9.0,9.02,8.8,8.83,5425,4827138.5,2.44,-2.21,-0.2,1.21
51,1997-11-19,8.85,8.98,8.6,8.85,4462,3936840.25,4.3,0.23,0.02,0.99
52,1997-11-20,9.29,9.29,8.8,8.9,6181,5566987.5,5.54,0.56,0.05,1.37
53,1997-11-21,8.9,9.15,8.79,8.97,9961,9005815.0,4.04,0.79,0.07,2.21
54,1997-11-24,9.05,9.05,8.43,8.49,6863,5935961.5,6.91,-5.35,-0.48,1.53
55,1997-11-25,8.5,8.8,8.45,8.6,4776,4067520.0,4.12,1.3,0.11,1.06
56,1997-11-26,8.75,8.89,8.5,8.8,3868,3360393.0,4.53,2.33,0.2,0.86
57,1997-11-27,8.76,8.97,8.5,8.7,4401,3837783.5,5.34,-1.14,-0.1,0.98
58,1997-11-28,8.55,9.0,8.53,8.95,3869,3377342.5,5.4,2.87,0.25,0.86
59,1997-12-01,8.9,8.9,8.55,8.71,3401,2962312.25,3.91,-2.68,-0.24,0.76
60,1997-12-02,8.75,8.85,8.55,8.8,2245,1949232.88,3.44,1.03,0.09,0.5
61,1997-12-03,8.78,8.8,8.58,8.6,2351,2029526.12,2.5,-2.27,-0.2,0.52
