,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2017-01-13,2.05,2.24,2.05,2.24,81,73280.0,12.34,45.45,0.7,0.04
1,2017-01-16,2.47,2.47,2.47,2.47,39,39517.0,0.0,10.27,0.23,0.02
2,2017-01-17,2.72,2.72,2.72,2.72,46,50353.0,0.0,10.12,0.25,0.02
3,2017-01-18,3.0,3.0,3.0,3.0,37,44311.0,0.0,10.29,0.28,0.02
4,2017-01-19,3.3,3.3,3.3,3.3,106,140855.0,0.0,10.0,0.3,0.05
5,2017-01-20,3.64,3.64,3.64,3.64,126,184888.0,0.0,10.3,0.34,0.06
6,2017-01-23,4.01,4.01,4.01,4.01,115,185840.0,0.0,10.16,0.37,0.05
7,2017-01-24,4.41,4.41,4.41,4.41,100,178440.0,0.0,9.98,0.4,0.05
8,2017-01-25,4.86,4.86,4.86,4.86,189,369018.0,0.0,10.2,0.45,0.09
9,2017-01-26,5.35,5.35,5.35,5.35,475,1022974.0,0.0,10.08,0.49,0.22
10,2017-02-03,5.89,5.89,5.89,5.89,985,2332039.0,0.0,10.09,0.54,0.45
11,2017-02-06,6.49,6.49,6.49,6.49,556,1446938.0,0.0,10.19,0.6,0.26
12,2017-02-07,7.14,7.14,7.14,7.14,453,1298050.0,0.0,10.02,0.65,0.21
13,2017-02-08,7.86,7.86,7.86,7.86,315,991431.0,0.0,10.08,0.72,0.15
14,2017-02-09,8.65,8.65,8.65,8.65,391,1356443.0,0.0,10.05,0.79,0.18
15,2017-02-10,9.53,9.53,9.53,9.53,2568,9790321.0,0.0,10.17,0.88,1.19
16,2017-02-13,10.48,10.48,10.48,10.48,16183,67853683.0,0.0,9.97,0.95,7.47
17,2017-02-14,11.41,11.54,11.26,11.54,88256,404368816.0,2.67,10.11,1.06,40.73
18,2017-02-15,12.26,12.7,12.04,12.7,142717,713823280.0,5.72,10.05,1.16,65.86
19,2017-02-16,12.01,12.5,11.51,11.77,106548,512501136.0,7.8,-7.32,-0.93,49.17
20,2017-02-17,12.01,12.84,11.48,11.96,112029,547028352.0,11.55,1.61,0.19,51.7
21,2017-02-20,11.46,11.51,10.76,10.93,89403,391391600.0,6.27,-8.61,-1.03,41.26
22,2017-02-21,10.93,11.19,10.68,10.98,61138,269000096.0,4.67,0.46,0.05,28.21
23,2017-02-22,10.93,11.06,10.39,10.82,62353,267658622.0,6.1,-1.46,-0.16,28.77
24,2017-02-23,10.72,11.1,10.63,11.05,63795,279467440.0,4.34,2.13,0.23,29.44
25,2017-02-24,10.98,11.88,10.87,11.75,78597,354940048.0,9.14,6.33,0.7,36.27
26,2017-02-27,12.09,12.4,11.71,11.75,89013,427879520.0,5.87,0.0,0.0,41.08
27,2017-02-28,11.02,11.38,11.01,11.24,64388,287446512.0,3.15,-4.34,-0.51,29.71
28,2017-03-01,11.26,11.43,11.13,11.14,40342,181527711.0,2.67,-0.89,-0.1,18.62
29,2017-03-02,11.07,11.42,10.98,11.2,44612,200196965.0,3.95,0.54,0.06,20.59
30,2017-03-03,11.06,11.65,11.03,11.52,48715,222317990.0,5.54,2.86,0.32,22.48
31,2017-03-06,11.51,12.08,11.47,11.77,53293,250345022.0,5.3,2.17,0.25,24.59
32,2017-03-07,11.52,12.08,11.52,12.06,53799,255023518.0,4.76,2.46,0.29,24.83
33,2017-03-08,12.06,12.89,11.85,11.9,91437,451065648.0,8.62,-1.33,-0.16,42.2
34,2017-03-09,11.75,12.59,11.67,12.39,77613,376655232.0,7.73,4.12,0.49,35.82
35,2017-03-10,12.06,12.23,11.83,12.02,56076,269559792.0,3.23,-2.99,-0.37,25.88
36,2017-03-13,11.96,12.03,11.52,11.96,39482,186450524.0,4.24,-0.5,-0.06,18.22
37,2017-03-14,12.02,12.48,11.96,12.12,56378,275335232.0,4.35,1.34,0.16,26.02
38,2017-03-15,11.97,12.33,11.91,12.24,46379,224934509.0,3.47,0.99,0.12,21.4
39,2017-03-16,12.21,12.86,12.2,12.61,67298,337282992.0,5.39,3.02,0.37,31.06
40,2017-03-17,12.69,12.83,11.97,12.02,66024,327785808.0,6.82,-4.68,-0.59,30.47
41,2017-03-20,11.99,12.35,11.79,12.34,35539,171814013.0,4.66,2.66,0.32,16.4
42,2017-03-21,12.26,12.88,12.22,12.82,59926,300341184.0,5.35,3.89,0.48,27.65
43,2017-03-22,12.64,13.02,12.43,12.74,64988,329025184.0,4.6,-0.62,-0.08,29.99
44,2017-03-23,12.71,12.88,11.99,12.44,55873,278340480.0,6.99,-2.35,-0.3,25.78
45,2017-03-24,12.35,12.56,12.32,12.56,35540,177087699.0,1.93,0.96,0.12,16.4
46,2017-03-27,12.56,13.18,12.34,12.93,69909,357095216.0,6.69,2.95,0.37,32.26
47,2017-03-28,12.91,12.94,12.49,12.54,46354,235107415.0,3.48,-3.02,-0.39,21.39
48,2017-03-29,12.41,12.51,11.51,11.51,55522,264974695.0,7.97,-8.21,-1.03,25.62
49,2017-03-30,11.38,11.38,11.01,11.01,37284,166429574.0,3.21,-4.34,-0.5,17.21
50,2017-03-31,11.25,11.63,10.88,11.1,34887,157685709.0,6.81,0.82,0.09,16.1
51,2017-04-05,10.77,11.42,10.77,11.4,26417,117931483.0,5.86,2.7,0.3,12.19
52,2017-04-06,11.42,11.7,11.31,11.36,25908,119367961.0,3.42,-0.35,-0.04,11.96
53,2017-04-07,11.43,11.75,11.26,11.28,26617,122578131.0,4.31,-0.7,-0.08,12.28
54,2017-04-10,11.28,11.66,10.78,10.89,39382,176100948.0,7.8,-3.46,-0.39,18.17
55,2017-04-11,10.65,11.32,10.65,11.32,33562,148386965.0,6.15,3.95,0.43,15.49
56,2017-04-12,11.38,11.58,11.01,11.05,28436,128579751.0,5.04,-2.39,-0.27,13.12
57,2017-04-13,11.21,11.38,11.03,11.16,16343,73068203.0,3.17,1.0,0.11,7.54
58,2017-04-14,11.14,11.26,11.06,11.11,12812,57146071.0,1.79,-0.45,-0.05,5.91
59,2017-04-17,10.3,10.36,9.99,9.99,22417,90509974.0,3.33,-10.08,-1.12,10.34
60,2017-04-18,9.57,9.99,8.99,9.0,33352,126009949.0,10.01,-9.91,-0.99,15.39
61,2017-04-19,9.02,9.29,8.89,9.24,18903,69033689.0,4.44,2.67,0.24,8.72
