,日期,开盘,最高,最低,收盘,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2018-02-01,29.44,32.11,29.44,32.11,148,476373.0,11.97,43.99,9.81,0.05
1,2018-02-02,35.32,35.32,35.32,35.32,55,193836.0,0.0,10.0,3.21,0.02
2,2018-02-05,38.85,38.85,38.85,38.85,163,631778.0,0.0,9.99,3.53,0.05
3,2018-02-06,42.74,42.74,42.74,42.74,820,3506389.0,0.0,10.01,3.89,0.27
4,2018-02-07,47.01,47.01,47.01,47.01,3339,15694758.0,0.0,9.99,4.27,1.08
5,2018-02-08,45.0,45.0,42.31,42.31,131092,565051264.0,5.72,-10.0,-4.7,42.56
6,2018-02-09,38.38,43.27,38.35,40.7,111387,454397248.0,11.63,-3.81,-1.61,36.16
7,2018-02-12,41.83,44.35,40.98,42.49,106132,452397728.0,8.28,4.4,1.79,34.46
8,2018-02-13,41.2,41.59,38.24,38.24,99389,390104368.0,7.88,-10.0,-4.25,32.27
9,2018-02-14,37.67,38.69,36.0,36.44,62798,233964560.0,7.03,-4.71,-1.8,20.39
10,2018-02-22,36.62,37.7,36.04,36.96,53571,198290265.0,4.56,1.43,0.52,17.39
11,2018-02-23,36.7,38.47,36.49,37.82,70280,261904907.0,5.36,2.33,0.86,22.82
12,2018-02-26,39.4,40.58,38.68,39.28,93148,368704096.0,5.02,3.86,1.46,30.24
13,2018-02-27,39.0,41.88,38.0,40.8,110010,442672304.0,9.88,3.87,1.52,35.72
14,2018-02-28,39.17,39.41,37.0,37.2,91850,349519088.0,5.91,-8.82,-3.6,29.82
15,2018-03-01,37.01,38.65,36.88,38.22,59994,228584543.0,4.76,2.74,1.02,19.48
16,2018-03-02,37.4,39.8,36.88,36.99,55596,208307340.0,7.64,-3.22,-1.23,18.05
17,2018-03-05,37.12,40.5,37.07,40.4,83698,325883616.0,9.27,9.22,3.41,27.17
18,2018-03-06,39.52,41.17,39.08,39.78,86163,344827808.0,5.17,-1.53,-0.62,27.98
19,2018-03-07,39.5,42.49,39.2,41.32,103645,424966768.0,8.27,3.87,1.54,33.65
20,2018-03-08,40.7,42.97,40.51,41.91,96583,403840032.0,5.95,1.43,0.59,31.36
21,2018-03-09,41.51,46.1,41.3,46.1,115502,506376800.0,11.45,10.0,4.19,37.5
22,2018-03-12,48.52,50.49,43.98,44.61,150346,709303280.0,14.12,-3.23,-1.49,48.81
23,2018-03-13,44.12,44.4,42.7,42.74,88531,384873168.0,3.81,-4.19,-1.87,28.74
24,2018-03-14,42.25,43.48,42.1,42.56,63094,270859984.0,3.23,-0.42,-0.18,20.49
25,2018-03-15,41.45,41.45,38.45,39.77,80049,317615712.0,7.05,-6.56,-2.79,25.99
26,2018-03-16,39.82,40.13,39.41,39.9,45406,180784057.0,1.81,0.33,0.13,14.74
27,2018-03-19,40.06,41.48,39.8,40.72,52933,215921282.0,4.21,2.06,0.82,17.19
28,2018-03-20,39.97,41.4,39.22,41.24,51551,207448530.0,5.35,1.28,0.52,16.74
29,2018-03-21,41.2,42.48,39.94,39.94,62110,257669887.0,6.16,-3.15,-1.3,20.17
30,2018-03-22,39.5,41.27,39.21,40.77,44036,178405078.0,5.16,2.08,0.83,14.3
31,2018-03-23,38.69,39.75,36.69,36.7,59574,225865608.0,7.51,-9.98,-4.07,19.34
32,2018-03-26,35.36,38.15,35.1,37.99,49137,182165456.0,8.31,3.51,1.29,15.95
33,2018-03-27,38.02,40.37,38.02,39.37,58605,231031697.0,6.19,3.63,1.38,19.03
34,2018-03-28,38.53,40.2,38.06,39.59,52987,208245541.0,5.44,0.56,0.22,17.2
35,2018-03-29,39.75,40.57,38.75,40.04,52225,208163415.0,4.6,1.14,0.45,16.96
36,2018-03-30,40.25,42.8,40.25,41.78,71987,298625424.0,6.37,4.35,1.74,23.37
37,2018-04-02,42.0,45.7,41.18,43.2,105610,461011520.0,10.82,3.4,1.42,34.29
38,2018-04-03,41.5,42.55,41.2,42.55,69721,291826368.0,3.13,-1.5,-0.65,22.64
39,2018-04-04,42.65,43.8,41.35,41.4,67093,285652608.0,5.76,-2.7,-1.15,21.78
40,2018-04-09,40.32,45.0,40.2,44.07,84615,360105120.0,11.59,6.45,2.67,27.47
41,2018-04-10,42.13,42.59,39.66,40.28,99752,408633152.0,6.65,-8.6,-3.79,32.39
42,2018-04-11,40.35,41.25,39.31,41.0,57528,233188505.0,4.82,1.79,0.72,18.68
43,2018-04-12,41.01,44.31,40.7,42.69,104369,446516160.0,8.8,4.12,1.69,33.89
44,2018-04-13,42.7,45.46,42.29,44.52,121886,539991168.0,7.43,4.29,1.83,39.57
45,2018-04-16,43.2,44.3,41.44,44.29,76276,326145040.0,6.42,-0.52,-0.23,24.76
46,2018-04-17,43.91,45.45,41.95,42.25,71582,313181552.0,7.9,-4.61,-2.04,23.24
47,2018-04-18,43.35,46.48,43.3,46.48,98559,450279600.0,7.53,10.01,4.23,32.0
48,2018-04-19,50.6,51.13,45.46,45.5,152824,750793232.0,12.2,-2.11,-0.98,49.62
49,2018-04-20,44.69,50.05,44.69,49.0,193755,922687360.0,11.78,7.69,3.5,62.91
50,2018-04-23,47.0,49.0,44.5,45.0,134781,631581392.0,9.18,-8.16,-4.0,43.76
51,2018-04-24,44.01,49.45,43.16,47.7,129433,600726816.0,13.98,6.0,2.7,42.02
52,2018-04-25,46.4,52.47,46.0,52.47,178459,910028656.0,13.56,10.0,4.77,57.94
53,2018-04-26,50.26,57.47,50.26,52.45,190441,1006506688.0,13.74,-0.04,-0.02,61.83
54,2018-04-27,51.5,52.44,47.77,48.01,116921,579438912.0,8.9,-8.47,-4.44,37.96
55,2018-05-02,48.3,49.49,45.54,46.76,89304,425330368.0,8.23,-2.6,-1.25,28.99
56,2018-05-03,46.8,51.2,45.8,50.58,104965,512856944.0,11.55,8.17,3.82,34.08
57,2018-05-04,49.52,50.47,47.02,47.93,85774,418252736.0,6.82,-5.24,-2.65,27.85
58,2018-05-07,47.89,50.0,47.81,49.06,72077,351973232.0,4.57,2.36,1.13,23.4
59,2018-05-08,48.85,49.83,48.1,48.98,62955,307025792.0,3.53,-0.16,-0.08,20.44
60,2018-05-09,48.35,51.15,48.08,49.43,81578,405454800.0,6.27,0.92,0.45,26.49
61,2018-05-10,49.1,49.6,48.24,49.03,54818,267256372.0,2.75,-0.81,-0.4,17.8
62,2018-05-11,49.9,51.48,49.19,49.19,85117,426513936.0,4.67,0.33,0.16,27.64
63,2018-05-14,47.91,47.91,45.5,46.84,65851,309231392.0,4.9,-4.78,-2.35,21.38
64,2018-05-15,46.8,47.52,45.93,47.4,50324,235544099.0,3.39,1.2,0.56,16.34
65,2018-05-16,47.4,47.89,46.52,46.7,42540,200430141.0,2.89,-1.48,-0.7,13.81
66,2018-05-17,46.6,47.78,46.6,47.12,31939,150447216.0,2.53,0.9,0.42,10.37
67,2018-05-18,47.08,47.42,44.13,45.2,56821,258557184.0,6.98,-4.07,-1.92,18.45
68,2018-05-21,45.62,47.6,45.16,47.56,53864,251924297.0,5.4,5.22,2.36,17.49
69,2018-05-22,47.79,51.3,47.12,49.29,85846,420027728.0,8.79,3.64,1.73,27.87
70,2018-05-23,49.58,54.2,48.45,51.29,219259,749203024.0,11.67,4.06,2.0,47.46
71,2018-05-24,50.6,55.8,50.1,52.86,211680,745065280.0,11.11,3.06,1.57,45.82
72,2018-05-25,52.62,53.85,50.72,51.48,144727,499632080.0,5.92,-2.61,-1.38,31.33
73,2018-05-28,51.26,52.79,49.76,50.1,104413,356667024.0,5.89,-2.68,-1.38,22.6
74,2018-05-29,49.61,51.15,47.97,48.05,96905,317561072.0,6.35,-4.09,-2.05,20.98
75,2018-05-30,46.22,47.25,43.28,43.28,97481,293134480.0,8.26,-9.93,-4.77,21.1
76,2018-05-31,43.65,44.54,42.5,44.06,71705,207816232.0,4.71,1.8,0.78,15.52
77,2018-06-01,43.46,44.31,40.22,41.69,78102,219164713.0,9.28,-5.38,-2.37,16.91
78,2018-06-04,42.41,43.58,41.19,42.77,61003,172337406.0,5.73,2.59,1.08,13.2
79,2018-06-05,42.6,44.55,42.53,44.4,71380,208106193.0,4.72,3.81,1.63,15.45
80,2018-06-06,43.98,45.2,43.98,44.54,72811,214693204.0,2.75,0.32,0.14,15.76
81,2018-06-07,44.7,44.72,42.75,43.02,63426,182977484.0,4.42,-3.41,-1.52,13.73
82,2018-06-08,42.65,44.49,41.78,44.49,74169,213826471.0,6.3,3.42,1.47,16.05
83,2018-06-11,43.91,44.46,42.86,43.35,50247,145232275.0,3.6,-2.56,-1.14,10.88
84,2018-06-12,43.52,46.8,43.2,46.05,119078,359364832.0,8.3,6.23,2.7,25.77
85,2018-06-13,45.3,46.19,44.4,45.23,76623,229098491.0,3.89,-1.78,-0.82,16.59
86,2018-06-14,45.0,46.02,44.09,45.72,76628,230189932.0,4.27,1.08,0.49,16.59
87,2018-06-15,45.33,45.57,42.47,43.01,70872,207126877.0,6.78,-5.93,-2.71,15.34
88,2018-06-19,40.17,41.69,38.73,38.73,50144,133272133.0,6.88,-9.95,-4.28,10.85
89,2018-06-20,37.13,39.95,37.13,39.41,63573,162695862.0,7.28,1.76,0.68,13.76
90,2018-06-21,39.35,39.75,35.52,35.57,63098,156196265.0,10.73,-9.74,-3.84,13.66
91,2018-06-22,35.7,37.04,35.09,36.23,41066,98341869.0,5.48,1.86,0.66,8.89
92,2018-06-25,36.75,37.46,36.23,36.3,39841,96846866.0,3.39,0.19,0.07,8.62
93,2018-06-26,35.64,37.98,35.42,37.83,53775,132235018.0,7.05,4.21,1.53,11.64
94,2018-06-27,38.22,39.66,37.58,39.05,73259,187513876.0,5.5,3.22,1.22,15.86
95,2018-06-28,39.0,42.92,38.1,42.92,76232,205190515.0,12.34,9.91,3.87,16.5
96,2018-06-29,44.4,46.8,43.8,44.46,169470,505262848.0,6.99,3.59,1.54,36.68
97,2018-07-02,43.8,47.69,43.79,44.9,140520,422767792.0,8.77,0.99,0.44,30.42
98,2018-07-03,44.42,49.35,44.3,49.35,176849,549122224.0,11.25,9.91,4.45,38.28
99,2018-07-04,47.55,48.27,44.45,44.48,160988,493929120.0,7.74,-9.87,-4.87,34.85
100,2018-07-05,44.12,45.59,42.45,43.31,99574,289749792.0,7.06,-2.63,-1.17,21.55
101,2018-07-06,43.95,46.14,43.46,44.21,114547,339545472.0,6.19,2.08,0.9,24.79
102,2018-07-09,44.04,45.27,43.65,45.2,84009,249143613.0,3.66,2.24,0.99,18.18
103,2018-07-10,44.63,45.89,43.83,45.89,89844,266938920.0,4.56,1.53,0.69,19.45
104,2018-07-11,44.57,45.36,42.51,44.07,79887,233217034.0,6.21,-3.97,-1.82,17.29
105,2018-07-12,44.49,47.37,44.25,46.02,122928,374680000.0,7.08,4.42,1.95,26.61
106,2018-07-13,44.54,45.14,43.35,44.52,91620,268202314.0,3.89,-3.26,-1.5,19.83
107,2018-07-16,44.18,45.08,43.89,44.15,51606,151929657.0,2.67,-0.83,-0.37,11.17
108,2018-07-17,44.55,45.11,42.75,45.11,68077,199078552.0,5.35,2.17,0.96,14.74
109,2018-07-18,45.9,47.19,44.75,44.84,114385,350132640.0,5.41,-0.6,-0.27,24.76
110,2018-07-19,45.71,48.3,45.44,46.19,108731,335058880.0,6.38,3.01,1.35,23.53
111,2018-07-20,43.82,45.29,43.8,45.06,75319,222745861.0,3.23,-2.45,-1.13,16.3
112,2018-07-23,44.67,46.04,44.33,45.18,58151,173989494.0,3.79,0.27,0.12,12.59
113,2018-07-24,45.15,45.87,44.73,45.75,64363,193297100.0,2.52,1.26,0.57,13.93
114,2018-07-25,45.77,46.47,43.97,44.18,72319,217120827.0,5.46,-3.43,-1.57,15.65
115,2018-07-26,43.79,43.79,39.8,39.83,93964,256425283.0,9.03,-9.85,-4.35,20.34
116,2018-07-27,39.39,40.22,39.32,39.45,34557,91015920.0,2.26,-0.95,-0.38,7.48
117,2018-07-30,39.59,39.89,37.5,38.37,38321,97535657.0,6.06,-2.74,-1.08,8.29
118,2018-07-31,38.55,38.81,38.06,38.43,23093,58769673.0,1.95,0.16,0.06,5.0
119,2018-08-01,38.7,39.15,37.98,37.98,29301,74924243.0,3.04,-1.17,-0.45,6.34
120,2018-08-02,37.59,37.89,35.46,37.37,39734,96356781.0,6.4,-1.61,-0.61,8.6
